X,Y,PLOTID,LON,LAT,strate,prob_chang,ID,INT1_2000,INT1_2010,INT1_2015,INT1_2020,INT1_2021,CHG_20_21,CHG_00_10,CHG_10_15,CHG_15_20,IC,COMMENT.,P-I_name
201743.750963039,567014.330122245,"158288","-5.69005717084612","5.12415870544167","2","0.349442857142857","672","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
202565.77362862,604036.953044615,"158923","-5.68409124042665","5.45874682582898","2","0.385771428571429","673","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,ALE
202515.552063562,614044.233690739,"158933","-5.68495001309318","5.54917541905049","2","0.410861904761905","674","23","23","23","23","30",Stable,Stable,Stable,Stable,"1",,ALE
204562.144367527,605028.769957985,"160117","-5.66612859421139","5.46778969743957","3","0.420222222222222","675","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
205631.854630561,591014.4803402,"160700","-5.65593004567641","5.34118924949012","3","0.591688888888889","676","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
205592.598810092,599020.109530815,"160708","-5.65659783183218","5.41353242714758","2","0.381703174603175","677","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
209734.991302015,569983.198850858,"163070","-5.6181430945671","5.1512876050334","2","0.399293650793651","678","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
211630.827509934,591989.478432353,"164289","-5.60187983172461","5.35023215604251","3","0.531331746031746","679","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
212698.989850767,577976.133362461,"164873","-5.59172176571462","5.22363122416526","3","0.466584126984127","680","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
212675.051627312,582979.384837928,"164878","-5.59212426647358","5.26884590180232","2","0.339822222222222","681","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
213577.85157547,602988.126798321,"165496","-5.58474579134023","5.4497039515039","3","0.458350793650794","682","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
214548.469799921,608987.67997834,"166100","-5.57622504043589","5.5039611566483","1","0.0964603174603175","683","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
215574.07341766,603980.208642837,"166693","-5.56678178662075","5.45874682582898","1","0.1508","684","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
216672.636473449,583963.483357693,"167271","-5.55612060621346","5.27788882948404","3","0.56467619047619","685","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
217580.221067161,602971.087130674,"167888","-5.54865111512131","5.4497039515039","3","0.418504761904762","686","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
219717.375672177,574945.821593834,"169052","-5.52834210078256","5.19650238636039","1","0.0254857142857143","687","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
220746.242695346,568938.274903571,"169642","-5.51885243454205","5.14224464106022","1","0.0777","688","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
225711.138466795,576923.184748693,"172633","-5.47437861169154","5.2145882808233","2","0.390893650793651","689","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
226706.895832725,577919.813278509,"173230","-5.46543664469907","5.22363122416527","2","0.372385714285714","690","99","21","21","21","21",Stable,Stable,Stable,Stable,"1",,ALE
226595.078144434,600932.518806877,"173253","-5.46727481189536","5.43161819472806","3","0.47937619047619","691","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,ALE
137554.07505791,594346.196920405,"119633","-6.26970691699388","5.36831796115933","3","0.582919047619048","578","11","99","21","21","21",Stable,Stable,Deforestation,Stable,"2",nuages 2010,ALE
139546.667638053,596338.021351958,"120931","-6.25184651255868","5.38640375559591","3","0.450065079365079","583","11","99","21","21","21",Stable,Stable,Deforestation,Stable,"2",Nuages 2010,ALE
141578.381483883,590319.989070992,"122218","-6.23325096624108","5.33214634028102","3","0.503012698412698","588","11","99","21","21","21",Stable,Stable,Deforestation,Stable,"2",nuages 2010,ALE
