"PLOTID","LON","LAT","cal_val","prob_change","str_dal_ney_3s","vis_sep_1","vis_ign_1","vis_ign_2"
308,-8.45290220911597,6.53482824425875,"none",0.112842857142857,2,0,0,1
309,-8.45305412405432,6.54387076121879,"none",0.0312714285714286,1,0,0,0
310,-8.45320625361534,6.55291327493353,"none",0.0350714285714286,1,0,0,0
311,-8.45335859781808,6.56195578539858,"none",0.00366666666666667,1,0,0,0
312,-8.45351115668157,6.57099829260953,"none",0.0932857142857143,2,0,0,1
313,-8.45366393022488,6.58004079656197,"none",0.00483333333333333,1,0,0,1
314,-8.4538169184671,6.58908329725149,"none",0.102753968253968,2,0,0,0
315,-8.45397012142738,6.59812579467371,"none",0.0565952380952381,1,0,0,0
316,-8.45412353912486,6.60716828882421,"none",0.0481,1,0,0,1
317,-8.45427717157873,6.6162107796986,"none",0.146385714285714,2,0,0,0
318,-8.45443101880819,6.62525326729246,"none",0.0720738095238095,1,0,0,0
319,-8.45458508083248,6.6342957516014,"none",0.0330857142857143,1,0,0,0
335,-8.44325583555936,6.49865814405375,"none",0.0117380952380952,1,0,0,0
336,-8.44340673062131,6.50770067395092,"none",0.00318571428571429,1,0,0,0
337,-8.44355784000067,6.51674320062041,"none",0.0415095238095238,1,0,0,0
338,-8.44370916371634,6.52578572405782,"none",0.0969785714285714,2,0,0,0
339,-8.44386070178722,6.53482824425875,"none",0.0182166666666667,1,0,0,0
340,-8.44401245423226,6.54387076121879,"none",0.020952380952381,1,0,0,0
341,-8.44416442107041,6.55291327493353,"none",0.258401587301587,2,0,0,0
342,-8.44431660232068,6.56195578539858,"none",0.0107333333333333,1,0,0,0
343,-8.4444689980021,6.57099829260953,"none",0.0280666666666667,1,0,0,0
344,-8.44462160813371,6.58004079656197,"none",0.0161166666666667,1,0,0,0
345,-8.44477443273459,6.58908329725149,"none",0.0104,1,0,0,0
346,-8.44492747182385,6.59812579467371,"none",0.0935738095238095,2,0,0,0
347,-8.44508072542063,6.60716828882421,"none",0.122648412698413,2,0,0,0
348,-8.44523419354407,6.6162107796986,"none",0.0427404761904762,1,0,0,0
349,-8.44538787621338,6.62525326729246,"none",0.0901523809523809,2,0,0,0
350,-8.44554177344777,6.6342957516014,"none",0.0473857142857143,1,0,0,0
351,-8.44569588526649,6.64333823262102,"none",0.0259857142857143,1,0,1,0
352,-8.4458502116888,6.65238071034692,"none",0.0985142857142857,2,0,0,0
353,-8.44600475273401,6.66142318477469,"none",0.121614285714286,2,0,0,0
365,-8.43376405978776,6.47153053504029,"none",0.181185714285714,2,0,0,0
366,-8.4339141511236,6.48057307459403,"none",0.0259309523809524,1,0,0,0
367,-8.43406445649094,6.48961561093332,"none",0.0644769841269841,1,0,0,0
368,-8.43421497590856,6.49865814405375,"none",0.0791222222222222,2,0,0,0
369,-8.43436570939527,6.50770067395092,"none",0.0153214285714286,1,0,0,0
370,-8.43451665696992,6.51674320062041,"none",0.245470634920635,2,0,0,0
371,-8.43466781865135,6.52578572405782,"none",0.00236666666666667,1,0,0,1
372,-8.43481919445847,6.53482824425875,"none",0.0029,1,0,0,0
373,-8.43497078441019,6.54387076121879,"none",0.01375,1,0,0,0
374,-8.43512258852548,6.55291327493353,"none",0.114078571428571,2,0,0,0
375,-8.43527460682329,6.56195578539858,"none",0.121913492063492,2,0,0,0
376,-8.43542683932264,6.57099829260953,"none",0.0753825396825397,1,0,0,0
377,-8.43557928604255,6.58004079656196,"none",0.0879373015873016,2,0,0,0
378,-8.43573194700208,6.58908329725149,"none",0.0428904761904762,1,0,0,0
379,-8.43588482222032,6.59812579467371,"none",0.00640793650793651,1,0,0,0
380,-8.43603791171639,6.60716828882421,"none",0.134876190476191,2,0,0,0
381,-8.43619121550942,6.6162107796986,"none",0.12572380952381,2,0,0,0
382,-8.43634473361857,6.62525326729246,"none",0.193619047619048,2,0,0,0
383,-8.43649846606307,6.6342957516014,"none",0.181952380952381,2,0,0,1
384,-8.43665241286211,6.64333823262102,"none",0.0903698412698413,2,0,0,0
385,-8.43680657403495,6.65238071034692,"none",0.0556809523809524,1,0,0,0
406,-8.42457396682035,6.4624879922765,"none",0.116916666666667,2,0,0,0
407,-8.42472368348596,6.47153053504029,"none",0.0258333333333333,1,0,0,1
408,-8.4248736139349,6.48057307459403,"none",0.003,1,0,0,0
409,-8.42502375818591,6.48961561093332,"none",0.0220666666666667,1,0,0,0
410,-8.42517411625776,6.49865814405375,"none",0.256753968253968,2,0,0,0
411,-8.42532468816924,6.50770067395092,"none",0.0192,1,0,0,0
412,-8.42547547393915,6.51674320062041,"none",0.0201333333333333,1,0,0,0
413,-8.42562647358635,6.52578572405782,"none",0.0165190476190476,1,0,0,0
414,-8.42577768712971,6.53482824425875,"none",0.0588380952380952,1,0,0,0
415,-8.42592911458814,6.54387076121879,"none",0.0600611111111111,1,0,0,0
416,-8.42608075598054,6.55291327493353,"none",0.00956666666666667,1,0,0,0
417,-8.42623261132589,6.56195578539858,"none",0.0956357142857143,2,0,0,0
418,-8.42638468064317,6.57099829260953,"none",0.00422222222222222,1,0,0,1
419,-8.42653696395138,6.58004079656197,"none",0.0065,1,0,0,0
420,-8.42668946126957,6.58908329725149,"none",0.085152380952381,2,0,0,1
421,-8.42684217261679,6.59812579467371,"none",0.0611460317460317,1,0,0,0
422,-8.42699509801215,6.60716828882421,"none",0.155330952380952,2,0,0,0
423,-8.42714823747476,6.6162107796986,"none",0.0224190476190476,1,0,0,0
424,-8.42730159102377,6.62525326729246,"none",0.0387047619047619,1,0,0,0
425,-8.42745515867836,6.6342957516014,"none",0.12525,2,0,0,0
426,-8.42760894045772,6.64333823262102,"none",0.172988095238095,2,0,0,0
450,-8.41553375117605,6.4624879922765,"none",0.121271428571429,2,0,0,0
451,-8.41568330718416,6.47153053504029,"none",0.17827380952381,2,0,0,0
452,-8.4158330767462,6.48057307459403,"none",0.349564285714286,3,0,0,0
